fiscal_year,category,sub_category,value,unit,note,year
2017-18,Total Expenditure on Education by Education Department,States and Centre,458535.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education Department,States as % of GDP,2.21,value in percentage,,2017
2017-18,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,,2017
2017-18,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.68,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States,495594.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Centre,166558.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States and Centre,662151.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.9,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.97,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.87,value in percentage,,2017
2016-17,GDP at Current Prices,GDP at Current Prices,15391669.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States,356080.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,Centre,71931.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States and Centre,428011.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States as % of GDP,2.31,value in percentage,,2016
2016-17,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,,2016
2016-17,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.78,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States,484777.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Centre,168322.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States and Centre,653099.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.15,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.09,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.24,value in percentage,,2016
2015-16,GDP at Current Prices,GDP at Current Prices,13771874.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States,319809.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,Centre,67347.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States and Centre,387155.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States as % of GDP,2.32,value in percentage,,2015
2015-16,Total Expenditure on Education by Education Department,Centre as % of GDP,0.49,value in percentage,,2015
2015-16,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.81,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States,435230.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Centre,142563.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States and Centre,577793.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.16,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.04,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.2,value in percentage,,2015
2014-15,GDP at Current Prices,GDP at Current Prices,12467959.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States,292386.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,Centre,68926.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States and Centre,361312.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States as % of GDP,2.35,value in percentage,,2014
2014-15,Total Expenditure on Education by Education Department,Centre as % of GDP,0.55,value in percentage,,2014
2014-15,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.9,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States,373457.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Centre,133392.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States and Centre,506849.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.0,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.07,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.07,value in percentage,,2014
2013-14,GDP at Current Prices,GDP at Current Prices,11233522.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States,261737.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,Centre,71495.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States and Centre,333232.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States as % of GDP,2.33,value in percentage,,2013
2013-14,Total Expenditure on Education by Education Department,Centre as % of GDP,0.64,value in percentage,,2013
2013-14,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.97,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States,318250.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Centre,112629.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States and Centre,430879.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.83,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.0,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.84,value in percentage,,2013
2012-13,GDP at Current Prices,GDP at Current Prices,9944013.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States,233125.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,Centre,66088.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States and Centre,299213.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States as % of GDP,2.34,value in percentage,,2012
2012-13,Total Expenditure on Education by Education Department,Centre as % of GDP,0.66,value in percentage,,2012
2012-13,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.01,value in percentage,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,States,278375.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,Centre,89758.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,States and Centre,368133.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.8,value in percentage,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.9,value in percentage,,2012
2012-13,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.7,value in percentage,,2012
2011-12,GDP at Current Prices,GDP at Current Prices,8736329.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education Department,States,209831.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education Department,Centre,60261.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education Department,States and Centre,270092.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education Department,States as % of GDP,2.4,value in percentage,,2011
2011-12,Total Expenditure on Education by Education Department,Centre as % of GDP,0.69,value in percentage,,2011
2011-12,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.09,value in percentage,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,States,247856.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,Centre,86075.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,States and Centre,333930.0,value in Crore Rupees,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.84,value in percentage,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.99,value in percentage,,2011
2011-12,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.82,value in percentage,,2011
2010-11,GDP at Current Prices,GDP at Current Prices,7248860.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education Department,States,181605.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education Department,Centre,51905.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education Department,States and Centre,233510.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education Department,States as % of GDP,2.51,value in percentage,,2010
2010-11,Total Expenditure on Education by Education Department,Centre as % of GDP,0.72,value in percentage,,2010
2010-11,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.22,value in percentage,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,States,212818.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,Centre,80661.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,States and Centre,293478.0,value in Crore Rupees,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.94,value in percentage,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.11,value in percentage,,2010
2010-11,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.05,value in percentage,,2010
2009-10,GDP at Current Prices,GDP at Current Prices,6108903.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education Department,States,150194.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education Department,Centre,39942.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education Department,States and Centre,190136.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education Department,States as % of GDP,2.46,value in percentage,,2009
2009-10,Total Expenditure on Education by Education Department,Centre as % of GDP,0.65,value in percentage,,2009
2009-10,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.11,value in percentage,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,States,177233.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,Centre,64023.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,States and Centre,241256.0,value in Crore Rupees,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.9,value in percentage,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.05,value in percentage,,2009
2009-10,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.95,value in percentage,,2009
2008-09,GDP at Current Prices,GDP at Current Prices,5303567.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education Department,States,118387.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education Department,Centre,34436.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education Department,States and Centre,152822.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education Department,States as % of GDP,2.23,value in percentage,,2008
2008-09,Total Expenditure on Education by Education Department,Centre as % of GDP,0.65,value in percentage,,2008
2008-09,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.88,value in percentage,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,States,141091.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,Centre,47978.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,States and Centre,189069.0,value in Crore Rupees,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.66,value in percentage,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.9,value in percentage,,2008
2008-09,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.56,value in percentage,,2008
2007-08,GDP at Current Prices,GDP at Current Prices,4582086.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education Department,States,98610.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education Department,Centre,26770.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education Department,States and Centre,125380.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education Department,States as % of GDP,2.15,value in percentage,,2007
2007-08,Total Expenditure on Education by Education Department,Centre as % of GDP,0.58,value in percentage,,2007
2007-08,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.74,value in percentage,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,States,115878.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,Centre,39919.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,States and Centre,155797.0,value in Crore Rupees,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.53,value in percentage,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.87,value in percentage,,2007
2007-08,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.4,value in percentage,,2007
2006-07,GDP at Current Prices,GDP at Current Prices,3953276.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education Department,States,86467.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education Department,Centre,23873.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education Department,States and Centre,110340.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education Department,States as % of GDP,2.19,value in percentage,,2006
2006-07,Total Expenditure on Education by Education Department,Centre as % of GDP,0.6,value in percentage,,2006
2006-07,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,States,103147.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,Centre,34237.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,States and Centre,137384.0,value in Crore Rupees,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.61,value in percentage,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.87,value in percentage,,2006
2006-07,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.48,value in percentage,,2006
2005-06,GDP at Current Prices,GDP at Current Prices,3390503.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education Department,States,76661.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education Department,Centre,17823.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education Department,States and Centre,94484.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education Department,States as % of GDP,2.26,value in percentage,,2005
2005-06,Total Expenditure on Education by Education Department,Centre as % of GDP,0.53,value in percentage,,2005
2005-06,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,States,90019.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,Centre,23210.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,States and Centre,113229.0,value in Crore Rupees,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.66,value in percentage,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.68,value in percentage,,2005
2005-06,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.34,value in percentage,,2005
