fiscal_year,category,sub_category,value,unit,note
2018-19,Total Expenditure on Education by Education Department,States as % of GDP,2.2,value in percentage,
2018-19,Total Expenditure on Education by Education Department,Centre as % of GDP,0.41,value in percentage,
2018-19,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.61,value in percentage,
2018-19,Total Expenditure on Education by Education and Other Departments,States,554442,value in Crore Rupees,
2018-19,Total Expenditure on Education by Education and Other Departments,Centre,182139,value in Crore Rupees,
2018-19,Total Expenditure on Education by Education and Other Departments,States and Centre,736581,value in Crore Rupees,
2018-19,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.93,value in percentage,
2018-19,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.96,value in percentage,
2018-19,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.9,value in percentage,
2017-18,GDP at Current Prices,GDP at Current Prices,17090042,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education Department,States,378542,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education Department,Centre,79993,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education Department,States and Centre,458535,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education Department,States as % of GDP,2.21,value in percentage,
2017-18,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,
2017-18,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.68,value in percentage,
2017-18,Total Expenditure on Education by Education and Other Departments,States,495594,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education and Other Departments,Centre,166558,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education and Other Departments,States and Centre,662151,value in Crore Rupees,
2017-18,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.9,value in percentage,
2017-18,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.97,value in percentage,
2017-18,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.87,value in percentage,
2016-17,GDP at Current Prices,GDP at Current Prices,15391669,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education Department,States,356080,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education Department,Centre,71931,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education Department,States and Centre,428011,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education Department,States as % of GDP,2.31,value in percentage,
2016-17,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,
2016-17,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.78,value in percentage,
2016-17,Total Expenditure on Education by Education and Other Departments,States,484777,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education and Other Departments,Centre,168322,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education and Other Departments,States and Centre,653099,value in Crore Rupees,
2016-17,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.15,value in percentage,
2016-17,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.09,value in percentage,
2016-17,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.24,value in percentage,
2015-16,GDP at Current Prices,GDP at Current Prices,13771874,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education Department,States,319809,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education Department,Centre,67347,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education Department,States and Centre,387155,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education Department,States as % of GDP,2.32,value in percentage,
2015-16,Total Expenditure on Education by Education Department,Centre as % of GDP,0.49,value in percentage,
2015-16,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.81,value in percentage,
2015-16,Total Expenditure on Education by Education and Other Departments,States,435230,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education and Other Departments,Centre,142563,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education and Other Departments,States and Centre,577793,value in Crore Rupees,
2015-16,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.16,value in percentage,
2015-16,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.04,value in percentage,
2015-16,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.2,value in percentage,
2014-15,GDP at Current Prices,GDP at Current Prices,12467959,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education Department,States,292386,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education Department,Centre,68926,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education Department,States and Centre,361312,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education Department,States as % of GDP,2.35,value in percentage,
2014-15,Total Expenditure on Education by Education Department,Centre as % of GDP,0.55,value in percentage,
2014-15,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.9,value in percentage,
2014-15,Total Expenditure on Education by Education and Other Departments,States,373457,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education and Other Departments,Centre,133392,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education and Other Departments,States and Centre,506849,value in Crore Rupees,
2014-15,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3,value in percentage,
2014-15,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.07,value in percentage,
2014-15,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.07,value in percentage,
2013-14,GDP at Current Prices,GDP at Current Prices,11233522,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education Department,States,261737,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education Department,Centre,71495,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education Department,States and Centre,333232,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education Department,States as % of GDP,2.33,value in percentage,
2013-14,Total Expenditure on Education by Education Department,Centre as % of GDP,0.64,value in percentage,
2013-14,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.97,value in percentage,
2013-14,Total Expenditure on Education by Education and Other Departments,States,318250,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education and Other Departments,Centre,112629,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education and Other Departments,States and Centre,430879,value in Crore Rupees,
2013-14,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.83,value in percentage,
2013-14,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1,value in percentage,
2013-14,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.84,value in percentage,
2012-13,GDP at Current Prices,GDP at Current Prices,9944013,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education Department,States,233125,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education Department,Centre,66088,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education Department,States and Centre,299213,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education Department,States as % of GDP,2.34,value in percentage,
2012-13,Total Expenditure on Education by Education Department,Centre as % of GDP,0.66,value in percentage,
2012-13,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.01,value in percentage,
2012-13,Total Expenditure on Education by Education and Other Departments,States,278375,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education and Other Departments,Centre,89758,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education and Other Departments,States and Centre,368133,value in Crore Rupees,
2012-13,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.8,value in percentage,
2012-13,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.9,value in percentage,
2012-13,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.7,value in percentage,
2011-12,GDP at Current Prices,GDP at Current Prices,8736329,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education Department,States,209831,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education Department,Centre,60261,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education Department,States and Centre,270092,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education Department,States as % of GDP,2.4,value in percentage,
2011-12,Total Expenditure on Education by Education Department,Centre as % of GDP,0.69,value in percentage,
2011-12,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.09,value in percentage,
2011-12,Total Expenditure on Education by Education and Other Departments,States,247856,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education and Other Departments,Centre,86075,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education and Other Departments,States and Centre,333930,value in Crore Rupees,
2011-12,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.84,value in percentage,
2011-12,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.99,value in percentage,
2011-12,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.82,value in percentage,
2010-11,GDP at Current Prices,GDP at Current Prices,7248860,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education Department,States,181605,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education Department,Centre,51905,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education Department,States and Centre,233510,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education Department,States as % of GDP,2.51,value in percentage,
2010-11,Total Expenditure on Education by Education Department,Centre as % of GDP,0.72,value in percentage,
2010-11,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.22,value in percentage,
2010-11,Total Expenditure on Education by Education and Other Departments,States,212818,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education and Other Departments,Centre,80661,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education and Other Departments,States and Centre,293478,value in Crore Rupees,
2010-11,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.94,value in percentage,
2010-11,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.11,value in percentage,
2010-11,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.05,value in percentage,
2009-10,GDP at Current Prices,GDP at Current Prices,6108903,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education Department,States,150194,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education Department,Centre,39942,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education Department,States and Centre,190136,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education Department,States as % of GDP,2.46,value in percentage,
2009-10,Total Expenditure on Education by Education Department,Centre as % of GDP,0.65,value in percentage,
2009-10,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.11,value in percentage,
2009-10,Total Expenditure on Education by Education and Other Departments,States,177233,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education and Other Departments,Centre,64023,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education and Other Departments,States and Centre,241256,value in Crore Rupees,
2009-10,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.9,value in percentage,
2009-10,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.05,value in percentage,
2009-10,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.95,value in percentage,
2008-09,GDP at Current Prices,GDP at Current Prices,5303567,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education Department,States,118387,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education Department,Centre,34436,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education Department,States and Centre,152822,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education Department,States as % of GDP,2.23,value in percentage,
2008-09,Total Expenditure on Education by Education Department,Centre as % of GDP,0.65,value in percentage,
2008-09,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.88,value in percentage,
2008-09,Total Expenditure on Education by Education and Other Departments,States,141091,value in Crore Rupees,
